ID,CONAME,gvkey,TWITTER ACCOUNT,Account
119,ALTRIA GROUP INC,008543,@InsidePMI,Blue
120,KINDER MORGAN INC,006310,@Kinder_Morgan,Green
121,EDISON INTERNATIONAL,009846,@edisonintl,Green
122,ENERGY FUTURE HOLDINGS CORP,010507,@EFH_News,Green
123,AMGEN INC,001602,@Amgen,Green
124,TARGET CORP,003813,@Target,Blue
125,DU PONT (E I) DE NEMOURS,004087,@DuPont_News,Blue
126,UNION PACIFIC CORP,010867,@UnionPacific,Green
127,HOME DEPOT INC,005680,@HomeDepot,Blue
128,ENTERGY CORP,007366,@Entergy,Green
129,WYETH,001478,,N/A
130,VALERO ENERGY CORP,015247,,N/A
131,DELTA AIR LINES INC,003851,@Delta,Blue
132,FIRSTENERGY CORP,008099,@firstenergycorp,Green
133,AETNA INC,001177,@Aetna,Green
134,TD BANKNORTH INC,016991,@TDBank_US,Blue
135,MELLON FINANCIAL CORP,007238,@BNYMellon,Blue
136,HONEYWELL INTERNATIONAL INC,001300,@Honeywell_Jobs,Blue
137,MARATHON OIL CORP,007017,@MarathonOil,Green
138,AES CORP,024216,@TheAESCorp,Green
139,FIRST DATA CORP,025157,@FirstData,Green
140,POPULAR INC,002002,@popular,Green
141,NEW YORK CMNTY BANCORP INC,029282,,N/A
142,ALCOA INC,001356,@Alcoa,Blue
143,CONSOLIDATED EDISON INC,003413,@ConEdison,Blue
144,MCKESSON CORP,007171,@McKesson,Green
145,DEVON ENERGY CORP,014934,@DevonCareers,Green
146,PPL CORP,008455,@PPLCorp,Green
147,CARNIVAL CORP/PLC (USA),013498,@CarnivalPLC,Blue
148,BARRICK GOLD CORP,002055,@BarrickGold,Green
149,HESS CORP,001380,@HessCorporation,Green
150,CHESAPEAKE ENERGY CORP,027786,@Chesapeake,Blue
151,PHILIP MORRIS INTERNATIONAL,179621,@InsidePMI,Blue
152,REINSURANCE GROUP AMER INC,028216,@RGA_RE,Green
153,UNITED PARCEL SERVICE INC,010920,@UPS,Blue
154,DELL INC,014489,@Dell,Blue
155,CME GROUP INC,149070,@CMEGroup,Blue
156,LOCKHEED MARTIN CORP,006774,@LockheedMartin,Blue
157,QUALCOMM INC,024800,@Qualcomm,Blue
158,ARCHER-DANIELS-MIDLAND CO,001722,@ADMupdates,Green
159,BURLINGTON NORTHERN SANTA FE,002490,@BNSFRailway,Green
160,SEMPRA ENERGY,008272,@SempraEnergy,Green
161,PROGRESS ENERGY INC,002783,@DukeEnergy,Blue
162,INTERACTIVE BROKERS GROUP,176701,@IBKR,Green
163,CNO FINANCIAL GROUP INC,012603,@CNOFinancial,Green
164,GENERAL DYNAMICS CORP,005046,@GDMS,Blue
165,LOWE'S COMPANIES INC,006829,@Lowes,Blue
166,FREEPORT-MCMORAN INC,014590,@FM_FCX,Green
167,EMC CORP/MA,012053,@EMCcorp,Blue
168,VISA INC,179534,@Visa,Blue
169,AMERICAN FINANCIAL GROUP INC,008431,,N/A
170,MCDONALD'S CORP,007154,@McDonaldsCorp,Blue
171,TRANSOCEAN LTD,028338,@TransoceanValue,Green
172,BRISTOL-MYERS SQUIBB CO,002403,@bmsnews,Blue
173,INDYMAC BANCORP INC,013166,,N/A
174,JEFFERIES GROUP LLC,006239,@JefferiesEvents,Green
175,PUBLIC SERVICE ENTRP GRP INC,008810,@PSEGdelivers,Green
176,LILLY (ELI) & CO,006730,@LillyPad,Blue
177,UNITED CONTINENTAL HLDGS INC,010795,@united,Blue
178,MEDTRONIC PLC,007228,@Medtronic,Green
179,SPECTRA ENERGY CORP,176282,@SpectraEnergy,Green
180,XCEL ENERGY INC,007977,@xcelenergy,Green
181,SYNOVUS FINANCIAL CORP,013041,@synovus,Green
182,NRG ENERGY INC,135990,@nrgenergy,Blue
183,INTERCONTINENTAL EXCHANGE,163610,@ICE_Markets,Blue
184,NORTHROP GRUMMAN CORP,007985,@northropgrumman,Blue
185,AUTOMATIC DATA PROCESSING,001891,@ADP,Blue
186,ALCAN INC,001243,,N/A
187,CSX CORP,002574,@CSX,Green
188,CENTURYLINK INC,002884,@CenturyLink,Blue
189,NORFOLK SOUTHERN CORP,007923,@nscorp,Green
190,3M CO,007435,@3M,Blue
191,AMERICAN EQTY INVT LIFE HLDG,156383,@AmericanEquity,Green
192,GENERAL GROWTH PPTYS INC,028119,@GeneralGrowth,Green
193,XEROX CORP,011636,@Xerox,Blue
194,AMERICAN AIRLINES GROUP INC,001045,@AmericanAir,Blue
195,INTL PAPER CO,006104,@IntlPaperCo,Green
196,FEDEX CORP,004598,@FedEx,Blue
197,ASSURANT INC,157057,@AssurantNews,Green
198,CAESARS ENTERTAINMENT CORP,020423,@CaesarsEnt,Green
199,JOHNSON CONTROLS INC,006268,@johnsoncontrols,Blue
200,FIRST HORIZON NATIONAL CORP,004737,@First_Horizon,Green
201,WALGREENS BOOTS ALLIANCE INC,011264,@AllianceBoots,Green
202,MBIA INC,013561,,N/A
203,AON PLC,003221,@Aon_plc,Green
204,XTO ENERGY INC,028256,,N/A
205,SIMON PROPERTY GROUP INC,029389,@ShopSimon,Green
206,FIRST REPUBLIC BANK,014275,@firstrepublic,Blue
207,HILTON WORLDWIDE HOLDINGS,005643,@HiltonWorldwide,Blue
208,CBS CORP,013714,@CBSNews,Blue
209,EBAY INC,114524,@eBay,Blue
210,HCA HOLDINGS INC,022260,@HCAhealthcare,Green
211,MARATHON PETROLEUM CORP,186989,@MarathonPetroCo,Green
212,DTE ENERGY CO,003897,@DTE_Energy,Green
213,LYONDELLBASELL INDUSTRIES NV,294524,@LyondellBasell,Green
214,RAYTHEON CO,008972,@Raytheon,Blue
215,DANAHER CORP,003735,,N/A
216,ABBVIE INC,016101,@abbvie,Blue
217,COLONIAL BANCGROUP,014201,,N/A
218,MGM RESORTS INTERNATIONAL,014418,@MGMResortsIntl,Blue
219,NATIONAL OILWELL VARCO INC,063892,@NOVGlobal,Blue
220,EL PASO CORP,004242,,N/A
221,KROGER CO,006502,@kroger,Blue
222,COSTCO WHOLESALE CORP,029028,@Costco,Green
223,NORTHWEST AIRLINES CORP,007672,,N/A
224,THERMO FISHER SCIENTIFIC INC,010530,@servingscience,Green
225,SCHERING-PLOUGH,009459,,N/A
226,EXPRESS SCRIPTS HOLDING CO,025356,@ExpressScripts,Blue
227,WILLIAMS COS INC,011506,@WilliamsUpdates,Green
228,AMBAC FINANCIAL GROUP INC,024287,,N/A
229,CARDINAL HEALTH INC,002751,@cardinalhealth,Green
230,CORNING INC,003532,@Corning,Blue
231,MACY'S INC,004611,@Macys,Blue
232,NEWMONT MINING CORP,007881,@Newmont,Blue
233,FIRST NIAGARA FINANCIAL GRP,109683,@firstniagara,Green
234,PEOPLE'S UNITED FINL INC,016245,@PeoplesUnited,Green
235,ASSOCIATED BANC-CORP,011842,@AssociatedBank,Green
236,SEARS HOLDINGS CORP,006307,@SearsHoldings,Blue
237,VIACOM INC,165675,@Viacom,Blue
238,KRAFT FOODS GROUP INC,012978,@kraftfoods,Blue
239,AMEREN CORP,010860,@AmerenCorp,Blue
240,EMERSON ELECTRIC CO,004321,@Emerson_News,Green
241,EATON CORP PLC,004199,@eatoncorp,Green
242,MOTOROLA SOLUTIONS INC,007585,@Motorola,Blue
243,EVERSOURCE ENERGY,007970,@EversourceCorp,Green
244,CITY NATIONAL CORP,003082,@CityNational,Green
245,EOG RESOURCES INC,016478,,N/A
246,PROGRESSIVE CORP-OHIO,013341,@Progressive,Blue
247,CENTERPOINT ENERGY INC,005742,@energyinsights,Green
248,WASTE MANAGEMENT INC,014477,@WasteManagement,Green
249,CONSTELLATION ENERGY GRP INC,001995,@ConstellationEG,Blue
250,PROLOGIS INC,029984,@Prologis,Green
251,TYCO INTERNATIONAL PLC,010787,@Tyco_IS,Green
252,PACIFICORP,008290,@PacifiCorp,Green
253,NISOURCE INC,007974,@NiSourceInc,Green
254,VORNADO REALTY TRUST,011220,,N/A
255,QWEST COMMUNICATION INTL INC,061489,,N/A
256,HALLIBURTON CO,005439,@Halliburton,Green
257,GENERAL MILLS INC,005071,@GeneralMills,Blue
258,OMNICOM GROUP,004066,@Omnicom,Blue
259,COMMERCE BANCSHARES INC,003238,@CommerceBank,Green
260,COVIDIEN PLC,177264,@Medtronic,Green
261,BAXTER INTERNATIONAL INC,002086,@baxter_intl,Green
262,EAST WEST BANCORP INC,118042,@EastWestBancorp,Green
263,TE CONNECTIVITY LTD,177267,@TEConnectivity,Blue
264,CULLEN/FROST BANKERS INC,003643,@FrostBank,Green
265,ASTORIA FINANCIAL CORP,029246,@AstoriaBank,Green
266,WEATHERFORD INTL PLC,004367,@WeatherfordCorp,Green
267,RAYMOND JAMES FINANCIAL CORP,008898,@RaymondJames,Green
268,WEBSTER FINANCIAL CORP,017150,@WebsterBank,Green
269,AMAZON.COM INC,064768,@amazon,Blue
270,KIMBERLY-CLARK CORP,006435,@KCCorp,Green
271,ELECTRONIC DATA SYSTEMS CORP,005074,,N/A
272,HEINZ (H J) CO,005568,@KraftHeinzCo,Green
273,EVEREST RE GROUP LTD,061388,,N/A
274,TD AMERITRADE HOLDING CORP,064552,@TDAmeritrade,Blue
275,ROYAL CARIBBEAN CRUISES LTD,028191,@RoyalAUNZ,Blue
276,ALLTEL CORP,001318,,N/A
277,BAKER HUGHES INC,001976,@BHInc,Green
278,DIRECTV,012206,@DIRECTV,Blue
279,SVB FINANCIAL GROUP,017120,@SVB_Financial,Green
280,BERKLEY (W R) CORP,014822,@WRBerkleyCorp,Green
281,MONSANTO CO,140760,@MonsantoCo,Blue
282,LYONDELL CHEMICAL CO,015110,@LyondellBasell,Green
283,CALPINE CORP,063605,,N/A
284,IHEARTMEDIA INC,003105,@iHeartMedia,Green
285,STANCORP FINANCIAL GROUP INC,119756,,N/A
286,INGERSOLL-RAND PLC,005959,@IngersollRand,Green
287,TCF FINANCIAL CORP,015363,@TCFBank,Green
288,PACCAR INC,008253,@PACCARFinancial,Green
289,HUMANA INC,027914,@Humana,Green
290,ILLINOIS TOOL WORKS,005878,@ITWHeartland,Green
291,EQUITY RESIDENTIAL,028733,@EquityRes,Green
292,REYNOLDS AMERICAN INC,120877,@RAI_News,Green
293,MERCANTILE BANKSHARES CORP,007253,,N/A
294,ARCH CAPITAL GROUP LTD,061302,,N/A
295,GENENTECH INC,005020,@genentech,Blue
296,TORCHMARK CORP,010614,,N/A
297,GUARANTY FINANCIAL GROUP INC,179079,,N/A
298,ANHEUSER-BUSCH COS INC,001663,@AnheuserBusch,Blue
299,AXIS CAPITAL HOLDINGS LTD,153130,,N/A
300,GOODYEAR TIRE & RUBBER CO,005234,@GoodyearBlimp,Blue
301,MEDCO HEALTH SOLUTIONS INC,007186,,N/A
302,FULTON FINANCIAL CORP,014172,@FultonBank,Green
303,MARSH & MCLENNAN COS,007065,@MMC_Global,Green
304,SOUTHWEST AIRLINES,009882,@SouthwestAir,Blue
305,TEXTRON INC,010519,@Textron,Green
306,CMS ENERGY CORP,003439,,N/A
307,NEWS CORP,018043,@newscorp,Blue
308,FIRST BANCORP P R,016821,@FirstBankpr,Green
309,CINCINNATI FINANCIAL CORP,014824,,N/A
310,REPUBLIC SERVICES INC,112168,@RepublicService,Green
311,SAFEWAY INC,009359,@Safeway,Blue
312,PRAXAIR INC,025124,@PraxairInc,Green
313,INVESCO LTD,029804,@InvescoUS,Blue
314,TEXAS INSTRUMENTS INC,010499,@TXInstrument,Blue
315,FIRSTMERIT CORP,004678,@FirstMerit,Green
316,BEST BUY CO INC,002184,@BestBuy,Blue
317,WEYERHAEUSER CO,011456,@WoodbyWY,Green
318,HCP INC,013125,@HCPInc,Green
319,WHIRLPOOL CORP,011465,@WhirlpoolCare,Blue
320,NIKE INC  -CL B,007906,@Nike,Blue
321,MICRON TECHNOLOGY INC,007343,@MicronTech,Green
322,VALLEY NATIONAL BANCORP,011861,@vnb_nj,Green
323,COMMUNITY HEALTH SYSTEMS INC,023714,@CHSI_Clinics,Green
324,NOBLE ENERGY INC,007912,@NobleColorado,Green
325,AMERISOURCEBERGEN CORP,031673,@Healthcare_ABC,Green
326,PEPCO HOLDINGS INC,008694,@PepcoConnect,Green
327,NIELSEN NV,100873,@Nielsen,Blue
328,TRANSATLANTIC HOLDINGS INC,023006,,N/A
329,SUSQUEHANNA BANCSHARES INC,017233,@SusquehannaBank,Green
330,MOSAIC CO,162129,@MosaicCompany,Green
331,LEUCADIA NATIONAL CORP,006682,,N/A
332,DOWNEY FINANCIAL CORP,004065,@DowneyFinancial,Red
333,OLD REPUBLIC INTL CORP,014828,,N/A
334,PHELPS DODGE CORP,008536,,N/A
335,ONEOK INC,008151,@ONEOK,Green
336,L-3 COMMUNICATIONS HLDGS INC,110685,,N/A
337,PPG INDUSTRIES INC,008247,@PPGIndustries,Green
338,YAHOO INC,062634,@YahooInc,Blue
339,MURPHY OIL CORP,007620,,N/A
340,KEYSPAN CORP,006799,,N/A
341,UNITED STATES STEEL CORP,023978,@U_S_Steel,Green
342,AIR PRODUCTS & CHEMICALS INC,001209,@airproducts,Green
343,BANKUNITED FINANCIAL CORP,016684,@BankUnited,Green
344,SUN MICROSYSTEMS INC,012136,@sunmicrosystems,Green
345,KOHL'S CORP,025283,@Kohls,Blue
346,FRONTIER COMMUNICATIONS CORP,135484,@FrontierCorp,Green
347,ALLIED WASTE INDUSTRIES INC,022140,,N/A
348,ACCENTURE PLC,143357,@Accenture,Blue
349,CONAGRA FOODS INC,003362,@ConAgraFoods,Blue
350,GENERAL MOTORS FINL CO INC,017197,@GMFCareers,Green
351,FLAGSTAR BANCORP INC,064699,@flagstar,Green
352,WISCONSIN ENERGY CORP,011550,@WECEnergyGroup,Green
353,BOSTON PROPERTIES INC,064925,@BXP_NYC,Green
354,HANCOCK HOLDING CO,024232,@HancockBank,Green
355,SCANA CORP,009445,,N/A
356,SAFECO CORP,009351,@Safecoinsurance,Green
357,WINTRUST FINANCIAL CORP,063781,@Wintrust,Green
358,CALIFORNIA RESOURCES CORP,021431,,N/A
359,SOUTH FINANCIAL GROUP INC,017640,@firstsouthfincu,Green
360,ARCHSTONE INC-REDH,008787,,N/A
361,AVIS BUDGET GROUP INC,003278,@Avis,Green
362,BANCORPSOUTH INC,014219,@MyBXS,Green
363,FACEBOOK INC,170617,@facebook,Blue
364,MOLSON COORS BREWING CO,003505,@MolsonCoors,Blue
365,SUPERVALU INC,010190,@supervaluPR,Green
366,STAPLES INC,015521,@Staples,Blue
367,PEPSI BOTTLING GROUP INC,119417,@PepsiCo,Blue
368,FIDELITY NATIONAL INFO SVCS,165993,@FISGlobal,Blue
369,BANK OF HAWAII CORP,002005,@BankofHawaii,Green
370,CROWN CASTLE INTL CORP,113490,,N/A
371,UMB FINANCIAL CORP,010916,@UMBBank,Green
372,SL GREEN REALTY CORP,065290,@SLGreen,Green
373,NUCOR CORP,008030,@NucorCorp,Green
374,INTERPUBLIC GROUP OF COS,006136,@InterpublicIPG,Green
375,ALLEGHANY CORP,001274,,N/A
376,SYMANTEC CORP,015855,@symantec,Blue
377,STANLEY BLACK & DECKER INC,010016,@StanleyBlkDeckr,Green
378,COMPUTER SCIENCES CORP,003336,@CSC,Green
379,KELLOGG CO,006375,@KelloggCompany,Blue
380,SIGNATURE BANK/NY,160776,,N/A
381,PEABODY ENERGY CORP,142460,@peabodyenergy,Blue
382,HOST HOTELS & RESORTS INC,007063,,N/A
383,TYSON FOODS INC  -CL A,010793,@TysonFoods,Blue
384,NYSE EURONEXT,166451,@NYSE,Blue
385,TRIBUNE MEDIA CO,010726,@tribunemedia,Green
386,PINNACLE WEST CAPITAL CORP,001075,,N/A
387,PUGET ENERGY INC,008818,,N/A
388,GILEAD SCIENCES INC,024856,@GileadSciences,Green
389,WASHINGTON FEDERAL INC,017145,@WaFed,Green
390,SUNGARD DATA SYSTEMS INC,012144,@SunGard,Blue
391,VENTAS INC,110179,,N/A
392,FRANKLIN RESOURCES INC,004885,@FTI_US,Blue
393,HEALTH CARE REIT INC,005543,,N/A
394,COCA-COLA ENTERPRISES INC,012756,@CokeCCE,Green
395,DISCOVERY COMMUNICATIONS INC,164296,@DiscoveryComm,Blue
396,AGL RESOURCES INC,001837,@AGL_Resources,Green
397,NABORS INDUSTRIES LTD,001661,,N/A
398,UNIVISION COMMUNICATIONS INC,063669,@Univision,Blue
399,SUNOCO INC,010156,@SunocoRacing,Blue
400,PENNEY (J C) CO,008446,@jcpenney,Blue
401,UCBH HOLDINGS INC,115566,,N/A
402,INTL BANCSHARES CORP,022086,@IBCBank,Green
403,GENON ENERGY INC,140033,@nrgenergy,Blue
404,CA INC,003310,@CAinc,Blue
405,ENERGY EAST CORP,007862,@iberdrola,Blue
406,AMERICAN TOWER CORP,105365,@ATC_Cares,Green
407,DISH NETWORK CORP,060900,@DISH_FUN,Green
408,APPLIED MATERIALS INC,001704,@Applied_Blog,Green
409,SYSCO CORP,010247,@Sysco,Green
410,NV ENERGY INC,007824,@NVEnergy,Green
411,INVESTORS FINANCIAL SVCS CP,061518,,N/A
412,ENSCO PLC,002270,@Enscoplc,Green
413,DELPHI AUTOMOTIVE PLC,118122,@DelphiAuto,Green
414,COLGATE-PALMOLIVE CO,003170,@CP_News,Green
415,UMPQUA HOLDINGS CORP,065228,@umpquabank,Green
416,PROSPERITY BANCSHARES INC,115876,,N/A
417,NOBLE CORP PLC,011925,,N/A
418,WINDSTREAM HOLDINGS INC,174490,@Windstream,Blue
419,FREESCALE SEMICONDUCTOR INC,157858,@Freescale,Green
420,MAF BANCORP INC,020075,,N/A
421,WILMINGTON TRUST CORP,011513,,N/A
422,WHITNEY HOLDING CORP,011482,,N/A
423,STRYKER CORP,010115,@Stryker_Jobs,Green
424,ECOLAB INC,004213,@Ecolab,Green
425,QUESTAR CORP,008873,@QuestarGasCNG,Green
426,MYLAN NV,007637,@MylanNews,Green
427,HANOVER INSURANCE GROUP INC,061408,@The_Hanover,Green
428,BEAM INC,001408,@beamsuntory,Green
429,LEVEL 3 COMMUNICATIONS INC,013440,@Level3,Blue
430,ASHLAND INC,001794,@AshlandInc,Green
431,SLM CORP,020430,@SallieMae,Blue
432,PRECISION CASTPARTS CORP,008717,,N/A
433,CATHAY GENERAL BANCORP,023500,,N/A
434,ALLEGHENY ENERGY INC,001279,,N/A
435,PRIVATEBANCORP INC,121816,,N/A
436,ARAMARK CORP,144519,@Aramark,Blue
437,PUBLIX SUPER MARKETS INC,008815,@Publix,Blue
438,PARKER-HANNIFIN CORP,008358,@ParkerHannifin,Blue
439,STERLING FINANCIAL CORP/WA,019538,@umpquabank,Blue
440,ISTAR FINANCIAL INC,015142,,N/A
441,BIOMET INC,002230,@zimmerbiomet,Blue
442,RRI ENERGY INC,140977,@nrgenergy,Blue
443,INTEGRYS ENERGY GROUP INC,011555,@WECEnergyGroup,Blue
444,ALLIANT ENERGY CORP,011554,@AlliantEnergyWI,Green
445,TRUSTMARK CORP,004685,@Trustmark_Bank,Blue
446,CUMMINS INC,003650,@Cummins,Blue
447,DAVITA HEALTHCARE PARTNERS,061483,@DaVita,Green
448,NASDAQ OMX GROUP INC,149337,@NASDAQ,Blue
449,PIONEER NATURAL RESOURCES CO,014359,,N/A
450,TESORO CORP,010466,@TesoroCorp,Green
451,NORTEL NETWORKS CORP,007980,,N/A
452,CAMERON INTERNATIONAL CORP,060894,@Cameron_Intl,Green
453,PRIMERICA INC,001414,@Primerica,Blue
454,CAPSTEAD MORTGAGE CORP,013142,@Capstead_IR,Red
455,ROHM AND HAAS CO,009217,,N/A
456,LENNAR CORP,006669,@Lennar,Blue
457,NAVISTAR INTERNATIONAL CORP,006081,@navistar,Green
458,SERVICE CORP INTERNATIONAL,009611,,N/A
459,TENET HEALTHCARE CORP,007750,@tenethealth,Green
460,BECTON DICKINSON & CO,002111,@BDGlobalHealth,Blue
461,GANNETT CO,004988,@Gannett,Blue
462,PUBLIC STORAGE,010096,@PublicStorage,Green
463,F N B CORP/FL,018049,@FNBPA,Blue
464,NETAPP INC,061591,@NetApp,Blue
465,ADT CORP,014438,@ADT,Blue
466,WYNDHAM WORLDWIDE CORP,174729,@Wyndham,Green
467,MB FINANCIAL INC/MD,031692,@mbfinancialbank,Green
468,WPX ENERGY INC,187128,@WPXEnergy,Green
469,CONSOL ENERGY INC,120093,@CONSOL_Energy,Green
470,HAWAIIAN ELECTRIC INDS,005526,@HwnElectric,Green
471,KIMCO REALTY CORP,024731,@kimcorealty,Green
472,HCC INSURANCE HOLDINGS INC,025877,@HCCMIS,Green
473,PHH CORP,008240,@PHHCorporation,Green
474,STARWOOD HOTELS&RESORTS WRLD,005723,@StarwoodBuzz,Blue
475,INGRAM MICRO INC,063919,@IngramMicroInc,Green
476,SEAGATE TECHNOLOGY PLC,150937,@Seagate,Blue
477,MEADWESTVACO CORP,011446,@WestRock,Green
478,CERIDIAN CORP,003480,@Ceridian,Green
479,GREAT PLAINS ENERGY INC,006334,,N/A
